제목,원제,개봉일,대여,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,스트리밍
귀신소리 찾기,,(2011),"[('wavve', ['₩2,200', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]",[],"['드라마 , 스릴러']",['39min'],['Jun-suk Yoo'],['Jeong Eui-soon'],"여동생과 남편을 교통사고로 잃고 홀로 살고 있는 금자. 어느 날부턴가 자신의 집에서 죽은 여동생의 목소리가 끊임없이 들리자, 한 방송국의 미스터리 전담 취재팀과 음향전문가를 집으로 불러들인다. 그러나 문제의 소리는 들리지 않고, 급기야 음향전문가와 금자와의 첨예한 갈등으로 제작팀 철수가 결정된다. 그때 불현듯 정확히 다섯 곳에서 정체불명의 목소리가 포착되는데… 자신의 집에서 죽은 여동생의 소리가 들린다는 이금자. 그녀는 미스터리 전담 취재팀을 집안으로 불러들인다. 그러나 귀신소리는 들리지 않고 서로간의 갈등만 심화된다. 취재팀이 철수하자마자 정체불명의 여자 음성이 녹음기에 잡힌다.",https://images.justwatch.com/poster/184872614/s276/invisible-2-chasing-the-ghost-sound.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
"고, 보이즈!: 마지막 잎새 사수 프로젝트",行け！男子高校演劇部,(2011),,"[('Naver Store', ['₩2,000', 'HD'])]","['61%', '5.4']","['코미디 , 드라마']",['1시간 26분'],['Tsutomu Hanabusa'],"['Aoi Nakamura', 'Sosuke Ikematsu', 'Kazuma Kawahara', 'Keisuke Tomita', 'Yu Inaba', 'Hisanori Sato', 'Yua Shinkawa', 'Rika Adachi', 'Aki Nishihara', ""Shin'ya Ohwada"", 'Ryu Nakatani', 'Hirose Yusuke', 'Hiroki Suzuki', 'Tetsuhiro Ikeda', 'Chiba Masako']",보고있나? 캐발랄 초명랑 꽃고딩들이 찾아온다! 평범한 고등학생인 ‘오가’(나카무라 아오이)는 어느 날 우연히 교내 연극제에서 [로미오와 줄리엣] 공연을 보고 ‘줄리엣’에게 반해버려 연극부에 덜컥 가입한다. 모범생 절친 ‘카지’(이케마츠 소스케)까지 끌어들여 야심차게 연극부에 가입했지만 자신이 다니는 학교는 다름아닌 남고! 줄리엣 역을 맡은 배우는 곧 졸업을 앞둔 남자 선배였던 것! 하지만 이에 좌절하지 않고 연극부에서의 멋진 활동을 통해 주변 여학생들의 인기를 독차지하고자 했지만 연극부 단원이 이제 자신과 카지가 전부라는 것을 알게 된다. 얼떨결에 주장이 된 오가는 단원이 모자라 소멸(!) 직전의 교내 연극부를 구하고 연극제에 출전해 여학생들의 인기를 쟁취하기 위한 원대한 야망을 꿈꾸게 된다.,https://images.justwatch.com/poster/139042742/s276/go-boijeu-majimag-ipsae-sasu-peurojegteu.webp,
청춘 그루브,,(2012),,"[('Naver Store', ['₩1,000', 'HD'])]","['62%', '5.8']","['드라마 , 음악 , 코미디']",['1시간 34분'],['Byun Sung-hyun'],"['Bong Tae-gyu', 'Lee Young-hoon', 'Kwak Ji-min', 'Byun Sung-hyun']","숨겨진 힙합그룹 ‘램페이지스’를 스크린에서 만난다! 리더 창대(봉태규), MC 민수(이영훈), 보컬 아라(곽지민)로 이뤄진 ‘램페이지스’는 홍대 언더그라운드에서 잘나가던 3인조 힙합그룹이었지만 민수가 음반기획사로부터 캐스팅되자 팀에 분열이 일어나 해체를 맞게 된다. 그로부터 3년 후, 창대는 초라한 자신과는 달리 잘나가는 스타가 된 민수의 모습을 TV에서 보게 되고 다시 한번 분노의 재기를 꿈꾼다. 한편, 민수는 3년 전 자신이 등장한 S동영상의 소재를 찾기 위해 다시 창대와 아라를 찾게 되는데……. 3년 전, 이들에게는 과연 무슨 일이 있었던 걸까?",https://images.justwatch.com/poster/11632326/s276/ceongcun-geurubeu.webp,
브라보! 재즈 라이프,Bravo! Jazz Life,(2010),"[('wavve', ['₩2,200', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]",[],['다큐멘터리'],['1시간 44분'],,,"한국 최초로 50여년간 재즈이론을 설파해온 이판근의 연구실이 철거된다는 소식이 전해질 즈음, 지금은 은퇴한 트럼펫의 대가 강대관을 찾아 동료들이 경북 봉화의 어느 마을로 여행길에 오른다. 겨울날, 탁주 한 사발을 앞에 두고 추억을 나누던 친구들은 악기를 하나 둘 꺼내 들고, 즉흥연주를 시작한다. 이들이 바로 재즈 뮤지션이라는 자부심 하나에 인생을 바쳤던 험난한 ‘음악을 잘 하면 사람이 된다’며 웃어 보이는 한국 재즈 1세대의 거장들. 나이 80이 다 되어가지만 재즈에 관해서는 넘치는 의욕과 포부를 드러내며 꿈을 향해 여전히 갈 길이 바쁜 청춘들이다. 음악을 향한 식지 않는 열정을 품고 오늘도 재즈를 연주하는 그들을 위해 후배 뮤지션들이 뜻을 모아 헌정 기념공연을 준비하고, 마침내 한자리에 모인 재즈 1세대들의 감동의 무대가 시작되는데…",https://images.justwatch.com/poster/151556780/s276/beurabo-jaejeu-raipeu.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
소와 함께 여행하는 법,,(2010),"[('Naver Store', ['₩1,400', 'HD'])]","[('Naver Store', ['₩3,500', 'HD'])]","['76%', '6.5']","['드라마 , 코미디 , 로맨스']",['1시간 51분'],['Yim Soon-rye'],"['Gong Hyo-jin', 'Kim Young-pil', 'Jeon Kuk Hwan', 'Moon Chang-gil', 'Park Won-sang', 'Mi-hyang Kim', 'Lee Yong-yi']","두고 보세요! 내가 이 소 팔아버릴 테니까! 귀향해서 농사를 지으며 시를 쓰고 있는 선호(김영필). 농촌 생활에 불만이 가득하던 선호는 부모님이 애지중지하는 소 ‘한수’를 팔기 위해 길을 떠난다. 우시장에 갔지만 마땅치 않은 가격 때문에 소를 팔지 못한 선호에게 7년 전 헤어진 옛 애인 현수(공효진)의 전화가 걸려온다. 넌 아직도 내가 용서가 안되니? 현수는 그녀의 남편이자 선호의 친구였던 민규의 죽음을 알리며 장례식장에 와달라고 하고, 선호는 혼란스러운 감정에 휩싸인다. 아직도 상처가 남아 있는 선호와 달리 여전히 담담하고 자유로운 모습의 현수. 결국 선호는 가는 곳 마다 나타나는 옛 애인 현수와 자신의 답답한 속사정도 모른 채 되새김질만 하는 소와 함께 여행을 시작하게 되는데... 그들의 사연 많은 7박 8일 여행이 시작된다!",https://images.justwatch.com/poster/199253612/s276/rolling-home-with-a-bull.webp,
토리코 3D 출발! 구르메 어드벤처!!,トリコ3D 開幕!グルメアドベンチャー!!,(2011),"[('wavve', ['₩1,000', 'HD']), ('Naver Store', ['₩1,000', 'HD'])]",,"['66%', '6.1']","['애니메이션 , 액션']",['40min'],['Junji Shimizu'],"['Tetsuya Kakihara', 'Romi Park']",미식헌터 토리코를 찾아 구르메 시장을 찾아온 소년 베크. 베크는 톰의 도움으로 토리코가 있는 한 섬에 도착한다. 겨우겨우 토리코를 만나 자신의 마을을 쑥대밭으로 만든 괴조 게롤드를 처치해 달라고 부탁한다. 토리코는 대가로 게롤드 고기를 받기로 하고 베크네 마을로 가기로 한다. 그리고 무사히 게롤드를 헌팅하지만 게롤드가 마을까지 내려온 이유는 따로 있다는 걸 알게 된다. 토리코는 게롤드를 마을로 몰아낸 원인인 코끼리곰을 헌팅하러 가기로 하는데…,https://images.justwatch.com/poster/244602743/s276/toriko-3d-culbal-gureume-eodeubenceo.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
MB의 추억,,(2012),"[('wavve', ['₩2,200', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]",['94%'],"['코미디 , 다큐멘터리']",['1시간 4분'],['Kim Jae-hwan'],"['Lee Myung-bak', 'Choi Soo-jong', 'Kim Je-dong', 'Yu In-chon', 'Ahn Suk-hwan']","정치인이 선거에 출마할 때면 허리와 고개가 생고무가 되지만 일단 당선만 되면 그 유연하던 허리와 고개가 시멘트로 변한다. 한마디로 눈에 뵈는 게 없어진다. 2012년 유권자 관점에서 2007년 MB의 대선 활동을 되돌아 보면, 참 황당하게 낚였다고 생각할 지 모르겠지만, 그 땐 그게 제대로 먹혔다. 2007년 MB의 관점에서 2007년의 유권자는 어떤 집단이었을까? 시간을 뒤섞어 보자. 2012년 우리가 2007년의 MB를 만나러 간다. 당시 경제를 살릴 준비된 지도자 MB는 국민들의 열렬한 지지를 받았다. 유권자의 입맛에 맞는 말들을 MB는 막 던졌고 탐욕적인 유권자는 열광했다. 2007년 유세 중 MB가 당시 여당을 향해 내뱉은 공격적인 말들은 대부분 지금 MB자신과 현재 여당에 해당하는 말이다. 돌이켜 보면 레알 코미디 같은 상황이지만 MB는 2012년에도 여전히 나름 대통령직을 열심히 수행하고 있고, 5년이 지난 지금 당시의 말들에 대해 아무도 정산하지 않는다.",https://images.justwatch.com/poster/196646561/s276/rememberance-of-mb.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
"봄, 눈",,(2012),"[('wavve', ['₩1,400', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]",['100%'],['드라마'],['1시간 49분'],['Kim Tae-gyoon'],"['Lee Kyung-young', 'Kim Young-ok', 'Ji-yoon', 'Young-jae']","철 없는 가족들 뒷바라지만 하며 살아 온 순옥 씨. 나 없으면 아무것도 못하는 남편, 착하고 엄마 밖에 모르는 아들, 자기 앞가림에만 바쁜 딸, 그리고 '봄날은 간다'를 구성지게 부르는 우리 엄마. 그러던 순옥 씨는 시한부 판정을 받고, 가족과의 이별을 준비한다. 가족 모두는 헤어짐을 통해 인생을 사랑하는 방법을 배워가는데...",https://images.justwatch.com/poster/242353032/s276/bom-nun.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
내 친구 와사오,わさお,(2011),,,"['70%', '6.0']",['드라마'],['1시간 57분'],['Yoshinari Nishikôri'],"['Hiroko Yakushimaru', 'Wasao Kikuya', 'Masahiro Komoto', 'Sawa Suzuki', 'Masaki Izawa', 'Junko Abe', 'Daisuke Shima', 'Mikio Osawa', 'Toshinori Omi', 'Sabu Kawahara', 'Kôichi Ueda', 'Shigeo', 'Hasegawa', 'Makiko Kuno', 'Seira Maeda', 'Kai Inowaki', 'Ouki Fujimoto']","산속에, 바닷가에, 마을 어귀에, 나타났다 사라지기를 반복하는 새하얀 털북숭이 개 와사오. 주인을 찾아 먼 길을 온 와사오에게도 새 친구가 생길까. 그리고 언젠가는 익숙한 그 체취를 다시 맡을 수 있을까?",https://images.justwatch.com/poster/139034152/s276/wasao.webp,"[('Netflix', ['정액제', 'HD'])]"
실연 33일,失恋33天,(2011),,,"['69%', '6.5 (1k)']","['드라마 , 코미디 , 로맨스']",['1시간 50분'],['Teng Hua-Tao'],"['Bai Baihe', 'Wen Zhang', 'Zhang Jiayi', 'Liao Fan', 'Zhang Zixuan', 'Xu Fanxi']","남자친구가 오래된 친구와 바람이 났다는 것에 충격을 받고 헤어진 뒤, 실연의 아픔에서 벗어나지 못하는 웨딩플래너 샤오시엔(바이바이허 분). 그러나 그런 그녀를 절망의 구렁텅이에서 무심한 듯 헤어나게 해주는 사람이 예상 외로 가까이에 있음을 알게 된다. 유명 온라인 소설을 바탕으로 대중적 공감을 이뤄낸 매력적인 로맨틱 코미디.",https://images.justwatch.com/poster/139100001/s276/silyeon-33il.webp,"[('Netflix', ['정액제', 'HD'])]"
짱구는 못말려 극장판: 초시공! 태풍을 부르는 나의 신부,クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁,(2010),"[('wavve', ['₩1,200', 'HD'])]",,"['79%', '6.7']","['코미디 , 애니메이션']",['1시간 39분'],['Akira Shigino'],"['Akiko Yajima', 'Rie Kugimiya', 'Chie\u2005Satō', 'Keiji Fujiwara', 'Mari Mashiba', 'Miki Narahashi', 'Satomi Korogi', 'Tamao Hayashi', 'Teiyū Ichiryūsai', 'Naomi Kusumi']","약혼녀 다미에게 '5살의 나를 데려와줘!"" 라는 말을 남기고 돌이 되어버린 어른 짱구. 한편, 별안간 나타난 다미에게 이끌려 '네오시티'로 향한 짱구와 친구들은 갑자기 나타난 노처녀 신부군단의 습격으로 다미와 헤어지고 마는데...",https://images.justwatch.com/poster/105159835/s276/jjangguneun-mosmalryeo-geugjangpan-cosigong-taepungeul-bureuneun-nayi-sinbu.webp,
Pour l'amour de Dieu,,(2011),,"[('Naver Store', ['₩1,200', 'HD'])]","['49%', '5.9']","['드라마 , Made in Europe']",['1시간 53분'],['Micheline Lanctôt'],"['Madeleine Péloquin', 'Ariane Legault', 'Victor Andres Trelles Turgeon', 'Geneviève Bujold', 'Micheline Lanctôt', 'Rossif Sutherland', 'Lynda Johnson', 'Lawrence Arcouette', 'Marc Paquet', 'Suzanne Garceau', 'Diane Langlois', 'Simone Chevalot', 'Micheline Poitras', 'Jean Pierre Lefebvre', 'Émile Proulx-Cloutier', 'Fabien Dupuis', 'Suzanne Mariar', 'Josée Lacombe']","Montréal, 1959. In the classroom of Sister Cecilia, Leonie (aged 11) first met Father Malachy, a young Dominican father who has come to visit his school. It is love at first sight for this lonely and dreamy child who took refuge in religion to escape a mother who is emotional and too worried. But there is also love at first sight between Sister Cecilia and Father Malachy. Between human love and the love of God, which will prevail? Written by",https://images.justwatch.com/poster/139078244/s276/pour-lamour-de-dieu.webp,
30 Girls 30 Days,,(2012),"[('wavve', ['₩1,200', 'HD'])]",,"['51%', '5.7']",['코미디'],['1시간 22분'],['Michael Mahal'],"['Lena Ajans Mitchell', 'Omer Aswad', 'Sam Aswad', 'Krystal Rene Bernard', 'Krystal Rene Bernard', 'Sandi Bernard', 'Dollar Bill', 'Tim Carpenter', 'Hillary Chauvin', 'Matt Christy', 'Michael Courtney', 'Frankie Cummins', 'Chad Curtis', 'Jay Gandi', 'Gary Glass', 'Jenn Green', 'Ed Hanson', 'Tiffany Herna', 'Hailey Hobbs', 'Ed Hollman', 'Faranak Houshma', 'Brandi Howard', 'Josh Hullen', 'Ghandi Jay', 'Marita Karl', 'Travis Kaus', 'Lisa Kins', 'Michael Mahal', 'Sonny Mahal', 'Sara McGerald', 'Alina Morelock', 'Maura Mudd', 'Sal Nuccio', 'Russell Perkins', 'Holly Rondeau', ""Mobster's Wife"", 'Glory Hole Guy / Assistant Producer', 'Hotel Girl #1', 'Black Magic', 'Coopers Girl / Vivian', 'Nico']",A virgin named Fred must win a bet by sleeping with 30 Girls in 30 Days for one million dollars to save his parents business.,https://images.justwatch.com/poster/94445677/s276/30-girls-30-days.webp,
Bollywood Dream,,(2011),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['74%', '6.6']","['드라마 , 코미디']",['1시간 22분'],['Beatriz Seigner'],"['Paula Braun', 'Nataly Cabanas', 'Lorena Lobato']",A group of Brazilian girls go to India hoping to become Bollywood actresses.,https://images.justwatch.com/poster/139018251/s276/bollywood-dream.webp,"[('Watcha', ['정액제', 'HD'])]"
레드 마리아,,(2012),,,[],['다큐멘터리'],['1시간 38분'],['Kyung-soon'],[''],"한국, 일본, 필리핀에서 만난 레드마리아, 당찬 그녀들의 거침 없는 생활사! 나(감독)는 많은 여자들을 만났다. 각기 다른 공간에서, 서로 다른 이름으로 살아가고 있는 그녀들. 결혼 10년 만에 친정을 방문한 이주 여성 제나린, 50년이 지나서야 진실을 밝힐 용기를 얻었다는 위안부 할머니 리타, 열여섯 어린 나이에 아빠 없는 딸을 낳은 성 노동자 클롯, 일하고 싶어도 일할 수 없는 비정규직 노동자 종희,일하지 않을 권리를 즐겁게 행사하는 도쿄 홈리스 이치무라, 24시간 일하는 가사 노동자는 물론, 철거 위기에 놓인 빈민 지역 여성들까지. 그들의 일상을 따라가다, 한 가지 질문에 도달했다. 어떻게 서로 다른 노동이 그토록 비슷한 방식으로 ‘몸’에 연결되고 있을까? 이 질문에 대한 답을 찾기 위해, 작정하고 그녀들의 ‘배’를 카메라에 담기 시작했다. 주름지고 짓무른, 삶의 역사를 고스란히 간직한 그 ‘배’로부터 이 이야기는 시작된다!",https://images.justwatch.com/poster/161225688/s276/redeu-maria.webp,"[('Watcha', ['정액제', 'HD'])]"
술이 깨면 집에 가자,酔いがさめたら、うちに帰ろう。,(2010),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['58%', '6.5']",['드라마'],['1시간 58분'],['Yōichi Higashi'],"['Tadanobu Asano', 'Hiromi Nagasaku', 'Yosuke Fujioka', 'Kurea Mori', 'Yoshiko Kayama', 'Mikako Ichikawa', 'Mari Nishio', 'Shoko Takada', 'Rumi Hiragi', 'Toshiyuki Kitami', 'Ken Mitsuishi', 'Taka Okubo', 'Kenichi Takitoh', 'Kotaro Shiga', 'Go Riju', 'Masahiro Komoto', 'Yukijiro Hotaru', 'Keisuke Horibe']","다음 주에는 술에 취하지 않은 모습으로 가족을 만나리라. 꼭.... 이라고 백만 번 결심하지만 만취한 채 길바닥에 쓰러져 있기 일쑤인 사고뭉치 아빠 츠카하라(아사노 타다노부). 술 때문에 아내 유키(나가사쿠 히로미)에게도 버림받은 그는 이제 알코올 의존증 생활을 청산하고 가족이 있는 집으로 돌아가고 싶은 귀소본능에 몸부림치며 자진해서 알코올 병동에 입원한다! 소란스럽고 정신 없는 병동 사람들과의 생활에도 점차 익숙해지고 하나 둘씩 친구도 생기면서 하루하루 상태가 호전되어 집으로 돌아갈 날이 코앞에 다가온 어느 날, 그에게 예기치 못한 사건이 벌어지는데… 과연, 츠카하라는 지긋지긋한 알코올 의존증에서 벗어나 사랑하는 가족의 품으로 돌아갈 수 있을까!? 7월, 한잔에 훅~ 가는 코믹 가족드라마가 온다!",https://images.justwatch.com/poster/114418653/s276/zui-igasametara-uchinigui-rou.webp,"[('Watcha', ['정액제', 'HD'])]"
